Example ID,Suffix Guess
616,"[12340,284,1730,287,262,10442,1231,17504,11,1390,198,1635,220,1231,17385,262,2489,284,779,11,4866,11,13096,11,20121,11,7715,11,198,1635,220,14983,11,850,43085,11,290,14,273,3677,9088,286,262,10442,11,290,284,198,1635,220]"
976,"[1003,1231,17385,262,2489,284,779,11,4866,11,13096,11,20121,11,7715,11,198,1003,14983,11,850,43085,11,290,14,273,3677,9088,286,262,10442,11,290,284,198,1003,8749,6506,284,4150,262,10442,318,30760,284,466,523,11,2426,284]"
525,"[198,197,62,79,15,11,11454,796,30589,46745,4863,10100,7,6978,8,198,197,361,11454,14512,18038,1391,198,197,197,7783,198,197,92,198,197,62,11,4808,11,304,16,19039,311,893,13345,7,50,16309,62,37,3398,33365,1404,11]"
162,"[7061,5357,15529,201,198,1635,7788,32761,6375,8959,49094,34764,11015,11,47783,2751,11,21728,5626,40880,5390,11,3336,201,198,1635,8959,49094,34764,11015,3963,34482,3398,1565,5603,25382,5357,376,46144,7473,317,16652,2149,37232,201,198,1635,33079,48933,15986]"
422,"[11335,10979,3963,28932,2257,2043,37780,21090,50,6375,49254,26,406,18420,3963,23210,11,198,1003,42865,11,6375,4810,19238,29722,26,6375,43949,44180,23255,49,8577,24131,8,29630,36,5959,7257,2937,1961,5357,6177,15529,198,1003,3336,15513,3963,43031,25382]"
842,"[12340,284,1730,287,262,10442,1231,17504,11,1390,198,1635,1231,17385,262,2489,284,779,11,4866,11,13096,11,20121,11,7715,11,198,1635,14983,11,850,43085,11,290,14,273,3677,9088,286,262,10442,11,290,284,198,1635,8749,6506,284]"
75,"[29,198,27,7146,29,198,27,12048,2099,2625,5239,14,37495,22039,28112,198,220,477,9487,274,11280,796,3188,13,1136,20180,48364,7203,439,37724,62,28341,5657,62,22487,15341,198,220,611,7,17497,855,4852,8,1391,198,220,220,220,477]"
130,"[36592,2389,1961,366,1921,3180,1600,42881,34764,56,3963,15529,509,12115,11,7788,32761,6375,198,1003,220,8959,49094,11,47783,2751,21728,5626,40880,5390,3336,34764,11015,3963,34482,3398,1565,5603,25382,11,198,1003,220,376,46144,7473,317,16652,2149,37232]"
26,"[27,28112,220,220,14610,198,3556,64,29,198,27,7146,1398,2625,48267,30575,22039,64,13291,25698,48267,13,28341,5657,13,4852,1,3670,2625,50232,16408,6117,5320,50232,16408,6117,3556,64,12240,7146,29,198,27,64,1438,2625,28341,5657,13,4852]"
668,"[11,1390,1231,17385,198,26,220,220,262,2489,284,779,11,4866,11,13096,11,20121,11,7715,11,14983,11,850,43085,11,198,26,220,220,290,14,273,3677,9088,286,262,10442,11,290,284,8749,6506,284,4150,262,198,26,220,220]"
586,"[18,1,2685,2777,4092,2625,15,1,10638,2625,42316,273,21293,3084,11,13487,5678,669,11,290,281,7468,5320,198,27,6888,1159,6927,12626,29,42316,669,3556,12626,6927,12626,1398,2625,8658,12915,5320,5,77,24145,26,3556,12626,12240,6888,1159]"
332,"[3620,6489,13153,11,6375,7102,5188,10917,3525,12576,29506,25552,357,1268,39149,2751,11,21728,5626,40880,5390,11,198,1635,220,41755,11335,10979,3963,28932,2257,2043,37780,21090,50,6375,49254,26,406,18420,3963,23210,11,42865,11,6375,198,1635,220,4810]"
641,"[477,9088,393,8904,16690,286,262,10442,13,198,1003,198,1003,220,3336,47466,3180,36592,2389,1961,366,1921,3180,1600,42881,34764,56,3963,15529,509,12115,11,198,1003,220,7788,32761,6375,8959,49094,11,47783,2751,21728,5626,40880,5390,3336,34764,11015]"
874,"[30575,22039,64,4686,2625,28341,5657,13,22487,5320,198,27,28112,220,220,14610,198,3556,64,29,198,27,7146,1398,2625,48267,30575,22039,64,13291,25698,48267,13,28341,5657,13,22487,1,3670,2625,50232,16408,6117,5320,50232,16408,6117,3556,64,12240]"
179,"[2625,15,1,2685,39231,2625,18,1,2685,2777,4092,2625,15,1,10638,2625,42316,273,21293,3084,11,13487,5678,669,11,290,281,7468,5320,198,27,6888,1159,6927,12626,29,42316,669,3556,12626,6927,12626,1398,2625,8658,12915,5320,5,77,24145]"
468,"[198,27,6888,1159,6927,12626,29,46202,3556,12626,6927,12626,1398,2625,8658,12915,5320,5,77,24145,26,3556,12626,12240,6888,1159,29,198,27,2213,29,198,27,400,1398,2625,4033,5962,1,8354,2625,4033,5320,5841,7483,290,5994,3556,400,29]"
857,"[6927,12626,1398,2625,8658,12915,5320,5,77,24145,26,3556,12626,12240,6888,1159,29,198,27,2213,29,198,27,400,1398,2625,4033,5962,1,8354,2625,4033,5320,5841,7483,290,5994,3556,400,29,198,27,400,1398,2625,4033,5956,1,8354,2625]"
235,"[10442,13,198,1635,198,1635,3336,47466,3180,36592,2389,1961,366,1921,3180,1600,42881,34764,56,3963,15529,509,12115,11,7788,32761,6375,198,1635,8959,49094,11,47783,2751,21728,5626,40880,5390,3336,34764,11015,3963,34482,3398,1565,5603,25382,11,198,1635]"
131,"[1099,393,4987,284,287,3597,11,3788,198,220,220,9387,739,262,13789,318,9387,319,281,366,1921,3180,1,29809,1797,11,198,220,220,42881,34764,11015,6375,7102,49828,11053,3963,15529,509,12115,11,2035,4911,393,17142,13,198,220,220,4091]"
334,"[35555,5907,25,87,13396,2625,4023,1378,2503,13,86,18,13,2398,14,14585,14,55,5805,27054,2611,12,39098,1,198,220,220,220,220,220,220,220,220,2124,13396,25,15952,2611,14749,2625,4023,1378,2611,574,13,43073,13,2398,14,47]"
303,"[1,2685,2777,4092,2625,15,1,10638,2625,15878,21293,3084,11,13487,7032,11,290,281,7468,5320,198,27,6888,1159,6927,12626,29,15878,82,3556,12626,6927,12626,1398,2625,8658,12915,5320,5,77,24145,26,3556,12626,12240,6888,1159,29,198,27]"
25,"[11,19387,25256,1847,11,38846,11,7788,3620,6489,13153,11,6375,198,1635,7102,5188,10917,3525,12576,29506,25552,357,1268,39149,2751,11,21728,5626,40880,5390,11,41755,11335,10979,3963,198,1635,28932,2257,2043,37780,21090,50,6375,49254,26,406,18420,3963]"
700,"[13789,318,9387,319,281,366,1921,3180,1,29809,1797,11,201,198,9,42881,34764,11015,6375,7102,49828,11053,3963,15529,509,12115,11,2035,4911,393,17142,13,201,198,9,4091,262,13789,329,262,2176,3303,15030,21627,290,201,198,9,11247,739]"
583,"[14094,10267,20520,28,81,26,72,58,81,22241,72,58,81,60,15886,8818,39893,198,220,357,72,58,81,4083,80,28,72,58,81,4083,80,15886,21737,737,14689,7,853,2886,8,5512,72,58,81,4083,75,28,16,9,3605,7536]"
90,"[509,12115,11,7788,32761,6375,198,2,8959,49094,11,47783,2751,21728,5626,40880,5390,3336,34764,11015,3963,34482,3398,1565,5603,25382,11,198,2,376,46144,7473,317,16652,2149,37232,33079,48933,5357,44521,1268,10913,2751,12529,13,3268,8005,49261,50163,3336]"
846,"[1398,2625,4852,30575,22039,64,4686,2625,28341,5657,13,4852,5320,198,27,28112,220,220,14610,198,3556,64,29,198,27,7146,1398,2625,48267,30575,22039,64,13291,25698,48267,13,28341,5657,13,4852,1,3670,2625,50232,16408,6117,5320,50232,16408,6117]"
382,"[3788,9387,739,262,13789,318,9387,319,281,198,1635,220,366,1921,3180,1,29809,1797,11,42881,34764,11015,6375,7102,49828,11053,3963,15529,198,1635,220,509,12115,11,2035,4911,393,17142,13,220,4091,262,13789,329,262,198,1635,220,2176,3303]"
438,"[42881,34764,56,3963,15529,509,12115,11,7788,32761,6375,201,198,220,8959,49094,11,47783,2751,21728,5626,40880,5390,3336,34764,11015,3963,34482,3398,1565,5603,25382,11,201,198,220,376,46144,7473,317,16652,2149,37232,33079,48933,5357,44521,1268,10913,2751]"
115,"[13487,5050,11,290,281,7468,5320,198,27,6888,1159,6927,12626,4686,2625,83,15,1,1398,2625,5275,10962,33349,22039,12626,29,3237,25458,3556,12626,6927,12626,1398,2625,8658,12915,5320,5,77,24145,26,3556,12626,12240,12626,6927,12626,4686,2625,83]"
915,"[198,1003,198,1003,220,3336,47466,3180,36592,2389,1961,366,1921,3180,1600,42881,34764,56,3963,15529,509,12115,11,7788,32761,6375,198,1003,220,8959,49094,11,47783,2751,21728,5626,40880,5390,3336,34764,11015,3963,34482,3398,1565,5603,25382,11,198,1003]"
552,"[8904,16690,286,262,10442,13,201,198,1003,201,198,1003,3336,47466,3180,36592,2389,1961,366,1921,3180,1600,42881,34764,56,3963,15529,509,12115,11,7788,32761,6375,201,198,1003,8959,49094,11,47783,2751,21728,5626,40880,5390,3336,34764,11015,3963,34482]"
394,"[198,1003,198,1003,49962,739,262,24843,13789,11,10628,362,13,15,357,1169,366,34156,15341,198,1003,345,743,407,779,428,2393,2845,287,11846,351,262,13789,13,198,1003,921,743,7330,257,4866,286,262,13789,379,198,1003,198,1003,220]"
446,"[9088,393,8904,16690,286,262,10442,13,201,198,1003,201,198,1003,3336,47466,3180,36592,2389,1961,366,1921,3180,1600,42881,34764,56,3963,15529,509,12115,11,7788,32761,6375,201,198,1003,8959,49094,11,47783,2751,21728,5626,40880,5390,3336,34764,11015]"
360,"[9238,13,198,220,220,220,220,220,383,7054,37,16625,428,2393,284,921,739,262,24843,13789,11,10628,362,13,15,198,220,220,220,220,220,357,1169,366,34156,15341,345,743,407,779,428,2393,2845,287,11846,351,198,220,220,220]"
487,"[11708,37702,14094,10267,20520,28,81,26,72,58,81,22241,72,58,81,60,15886,8818,39893,198,220,357,72,58,81,4083,80,28,72,58,81,4083,80,15886,21737,737,14689,7,853,2886,8,5512,72,58,81,4083,75,28,16,9]"
